ticker,date,open,high,low,close,sma_7,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,daily_return,volatility_7,volatility_30,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_subjectivity_mean,sentiment_subjectivity_std,sentiment_class_safe_value_counts,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
AR,2020-06-16,1.256,1.334,1.256,1.329,,,,1.329,1.329,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-17,1.329,1.343,1.32,1.343,,,,1.3311538461538461,1.330037037037037,0.0011168091168092253,0.00022336182336184509,0.0008934472934473802,,,,,,0.010534236267870645,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-18,1.343,1.343,1.281,1.282,,,,1.3235917159763313,1.3264787379972565,-0.0028870220209251674,-0.00039871494549555744,-0.00248830707542961,,,,,,-0.045420699925539765,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-19,1.282,1.843,1.173,1.569,,,,1.3613468365953572,1.3444432759233855,0.01690356067197163,0.00306174017799788,0.013841820493973749,,,,,,0.22386895475819024,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-20,1.569,1.593,1.413,1.424,,,,1.370985784811456,1.3503363665957273,0.020649418215728632,0.006579275785544031,0.0140701424301846,,,,,,-0.09241555130656476,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-21,1.424,1.84,1.404,1.745,,,,1.4285264333020011,1.3795707098108587,0.04895572349114241,0.015054565326663709,0.0339011581644787,,,,,,0.2254213483146068,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-22,1.745,1.935,1.745,1.771,1.4947142857142857,,,1.4812146743324626,1.4085654720470915,0.07264920228537108,0.026573492718405187,0.0460757095669659,,,,,,0.014899713467048548,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-23,1.771,1.838,1.649,1.744,1.554,,,1.5216431859736221,1.4334124741176772,0.08823071185594489,0.03890493654591313,0.04932577531003176,,,,,,-0.015245623941276043,0.12735910575817558,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-24,1.744,1.744,1.597,1.645,1.5971428571428572,,,1.5406211573622957,1.4490856241830345,0.09153553317926111,0.04943105587258272,0.042104477306678385,,,,,,-0.05676605504587151,0.1328979363789005,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-25,1.645,1.696,1.636,1.695,1.6561428571428571,,,1.5643717485373272,1.4673015038731803,0.09707024466414693,0.05895889363089557,0.03811135103325136,,,,,,0.03039513677811545,0.12812843221724082,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-26,1.695,1.695,1.564,1.564,1.6554285714285715,,,1.5643145564546614,1.4744643554381298,0.08985020101653163,0.06513715510802279,0.02471304590850884,,,,,,-0.0772861356932153,0.1078649454159178,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-27,1.564,1.592,1.461,1.581,1.677857142857143,,,1.566881547769329,1.482355884664935,0.08452566310439402,0.06901485670729704,0.015510806397096982,,,,,,0.010869565217391353,0.09916883234646306,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-28,1.581,1.601,1.473,1.497,1.6424285714285713,,,1.5561305404202015,1.4834406339490138,0.07268990647118767,0.06974986666007517,0.002940039811112502,,,,,,-0.05313092979127121,0.04175063001625787,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-29,1.497,1.527,1.446,1.446,1.596,,,1.5391873803555551,1.4806672536564942,0.058520126699060926,0.06750391866787232,-0.008983791968811397,54.45544554455446,,,,,-0.034068136272545235,0.038747946163390196,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-06-30,1.446,1.636,1.412,1.446,1.5534285714285716,,,1.5248508603008544,1.4780993089411982,0.04675155135965614,0.06335344520622908,-0.016601893846572943,54.45544554455446,,,,,0.0,0.03998582495889053,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-07-01,1.446,1.478,1.386,1.391,1.5171428571428571,,,1.504258420254569,1.4716475082788874,0.03261091197568167,0.0572049385601196,-0.024594026584437934,51.7725258493353,,,,,-0.03803596127247577,0.03814581653352281,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-07-02,1.391,1.601,1.366,1.51,1.4907142857142854,,,1.5051417402154046,1.4744884335915625,0.030653306623842136,0.05189461217286411,-0.021241305549021976,58.07365439093484,,,,,0.08554996405463688,0.053591255729410876,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
AR,2020-07-03,1.51,1.705,1.506,1.628,1.4998571428571428,,,1.5240430109514962,1.4858596607329282,0.038183350218568,0.04915235978200489,-0.01096900956343689,52.373290426387776,,,,,0.07814569536423832,0.055717027803095474,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
